Customer_ID,last_order,first_order,orders,monetary,profit,segment,region,recency_days,recency_weeks,R,F,M,RFM_Score,Segment
30,2024-11-07,2021-05-13,4,1867.5900000000001,547.2,Small Business,West,54,7,3,2,1,321,Hibernating
31,2024-11-21,2021-05-05,15,28752.95,6750.72,Corporate,East,40,5,3,3,4,334,Promising
32,2024-12-25,2021-03-02,63,140434.76,32834.44,Corporate,South,6,0,5,5,5,555,Champions
33,2024-09-26,2022-09-18,7,16321.52,4600.95,Consumer,South,96,13,2,2,3,223,Lost
34,2024-11-18,2024-03-07,3,1581.0,427.74,Consumer,East,43,6,3,1,1,311,Hibernating
35,2024-11-28,2021-03-11,27,59192.68,14785.63,Corporate,South,33,4,3,4,4,344,Loyal Customers
36,2024-07-01,2021-02-06,13,43895.97,11215.05,Corporate,East,183,26,2,3,4,234,At Risk
37,2021-05-19,2021-05-19,1,10.82,4.12,Consumer,South,1322,188,1,1,1,111,Lost
38,2022-12-20,2021-03-28,3,5926.2699999999995,1769.37,Home Office,South,742,106,1,1,2,112,Lost
39,2024-12-18,2021-01-01,33,76453.73,18363.17,Small Business,East,13,1,4,5,5,455,Champions
42,2024-12-23,2021-01-01,34,60955.7,15172.3,Consumer,South,8,1,5,5,4,554,Champions
43,2024-10-12,2021-12-15,4,5944.9400000000005,2140.26,Home Office,South,80,11,2,2,2,222,Lost
45,2024-08-14,2021-04-12,11,7090.08,1374.44,Home Office,East,139,19,2,3,2,232,Lost
46,2024-04-24,2021-11-23,3,4548.07,1163.95,Home Office,South,251,35,2,1,2,212,Lost
47,2021-05-25,2021-05-25,1,2260.13,-84.16,Home Office,Central,1316,188,1,1,1,111,Lost
48,2024-03-22,2021-01-21,22,38909.36,8573.1,Consumer,Central,284,40,1,4,4,144,Can't Lose
49,2024-11-15,2021-08-19,12,19675.32,6402.13,Small Business,West,46,6,3,3,3,333,Promising
50,2024-10-15,2021-01-09,6,2758.22,940.04,Consumer,West,77,11,2,2,1,221,Lost
52,2024-12-22,2021-03-09,18,30570.34,8771.539999999999,Corporate,Central,9,1,5,4,4,544,Champions
53,2024-12-29,2021-01-07,13,15631.27,3446.95,Consumer,East,2,0,5,3,3,533,Potential Loyalists
54,2024-08-29,2021-02-28,11,15699.7,4409.05,Home Office,Central,124,17,2,3,3,233,At Risk
55,2023-11-05,2021-03-19,13,17946.26,5352.42,Home Office,South,422,60,1,3,3,133,At Risk
57,2024-03-15,2024-03-15,1,11168.890000000001,2343.11,Small Business,West,291,41,1,1,2,112,Lost
58,2024-05-02,2022-05-10,3,4930.1900000000005,1544.46,Consumer,West,243,34,2,1,2,212,Lost
59,2024-12-30,2021-01-17,141,412021.15,96291.69,Corporate,South,1,0,5,5,5,555,Champions
60,2024-09-24,2021-01-22,17,27151.5,7572.95,Consumer,Central,98,14,2,4,4,244,Can't Lose
61,2024-12-12,2022-03-04,11,17924.21,3864.88,Small Business,West,19,2,4,3,3,433,Potential Loyalists
62,2024-05-26,2022-06-04,2,5787.43,1740.07,Consumer,East,219,31,2,1,2,212,Lost
63,2024-08-05,2022-05-26,4,1975.7599999999998,480.40999999999997,Consumer,East,148,21,2,2,1,221,Lost
64,2024-12-29,2021-02-05,37,94023.43,20857.18,Corporate,West,2,0,5,5,5,555,Champions
65,2024-12-06,2021-07-11,22,39239.520000000004,9633.51,Small Business,South,25,3,4,4,4,444,Champions
66,2024-11-20,2021-04-01,35,81211.74,19656.88,Small Business,Central,41,5,3,5,5,355,Loyal Customers
67,2023-07-01,2022-06-20,2,4391.1,1046.47,Home Office,East,549,78,1,1,2,112,Lost
68,2024-12-21,2021-04-23,13,20806.04,6351.56,Small Business,South,10,1,5,3,3,533,Potential Loyalists
69,2024-12-15,2021-01-12,56,156694.11,40550.99,Small Business,West,16,2,4,5,5,455,Champions
70,2024-11-23,2021-02-17,17,52570.09,11652.02,Corporate,South,38,5,3,4,4,344,Loyal Customers
71,2022-03-30,2021-10-28,2,2004.11,663.12,Consumer,East,1007,143,1,1,1,111,Lost
72,2024-11-02,2021-03-07,45,55504.47,14593.57,Home Office,Central,59,8,3,5,4,354,Loyal Customers
73,2024-08-29,2021-05-13,3,794.24,257.98,Home Office,South,124,17,2,1,1,211,Lost
74,2024-08-25,2021-01-22,12,8043.34,1949.8,Consumer,East,128,18,2,3,2,232,Lost
75,2024-08-28,2021-11-14,4,6860.4,1352.84,Consumer,Central,125,17,2,2,2,222,Lost
76,2024-11-28,2021-08-27,14,18646.36,4378.69,Home Office,South,33,4,3,3,3,333,Promising
77,2024-01-09,2021-12-02,2,3962.2699999999995,1385.22,Consumer,East,357,51,1,1,2,112,Lost
78,2024-12-31,2021-01-11,32,78774.79,16623.74,Small Business,East,0,0,5,5,5,555,Champions
79,2024-11-11,2021-08-12,8,18009.24,2935.7400000000002,Consumer,Central,50,7,3,2,3,323,Promising
80,2024-11-22,2021-08-17,20,41385.369999999995,10285.18,Consumer,West,39,5,3,4,4,344,Loyal Customers
81,2024-09-17,2021-11-14,6,6502.4400000000005,2361.68,Home Office,East,105,15,2,2,2,222,Lost
82,2024-12-04,2024-12-04,1,3332.8,874.34,Consumer,West,27,3,4,1,1,411,New Customers
84,2024-12-29,2021-02-04,64,142619.76,36542.77,Corporate,West,2,0,5,5,5,555,Champions
85,2024-06-27,2021-10-02,2,2776.0299999999997,407.19,Small Business,West,187,26,2,1,1,211,Lost
86,2022-12-19,2022-12-19,1,915.53,-3.6400000000000006,Consumer,South,743,106,1,1,1,111,Lost
88,2024-10-17,2021-01-10,45,93912.56,20092.47,Home Office,South,75,10,3,5,5,355,Loyal Customers
89,2024-12-18,2021-05-30,4,5560.04,1440.53,Small Business,West,13,1,4,2,2,422,Promising
90,2024-12-06,2021-06-19,22,51022.48,12061.61,Corporate,South,25,3,4,4,4,444,Champions
92,2024-12-13,2021-01-06,35,46873.08,11184.56,Consumer,East,18,2,4,5,4,454,Champions
94,2024-12-03,2021-04-05,43,42526.38,10551.6,Consumer,West,28,4,4,5,4,454,Champions
95,2024-12-28,2021-01-22,47,81956.11,22607.66,Home Office,East,3,0,5,5,5,555,Champions
96,2024-08-24,2021-01-21,5,7792.16,2099.34,Consumer,East,129,18,2,2,2,222,Lost
97,2024-11-20,2021-03-29,12,43103.04,10639.25,Corporate,Central,41,5,3,3,4,334,Promising
98,2023-06-18,2021-03-10,3,695.03,278.15999999999997,Home Office,East,562,80,1,1,1,111,Lost
99,2024-12-16,2021-03-23,32,85003.08,18120.25,Corporate,West,15,2,4,5,5,455,Champions
100,2024-04-15,2022-01-28,3,3152.7000000000003,556.17,Consumer,East,260,37,2,1,1,211,Lost
101,2024-12-08,2021-11-05,21,34737.450000000004,8186.52,Home Office,West,23,3,4,4,4,444,Champions
102,2024-12-13,2021-03-16,25,44709.19,10175.41,Home Office,West,18,2,4,4,4,444,Champions
103,2024-12-31,2021-01-24,27,43244.65,11553.72,Home Office,West,0,0,5,4,4,544,Champions
104,2023-08-23,2023-08-23,1,3281.75,878.85,Consumer,West,496,70,1,1,1,111,Lost
105,2024-12-22,2021-06-09,15,16004.99,4268.93,Consumer,East,9,1,5,3,3,533,Potential Loyalists
106,2024-12-30,2021-01-05,99,248369.22,58810.64,Small Business,Central,1,0,5,5,5,555,Champions
107,2021-01-01,2021-01-01,1,748.11,235.95,Consumer,West,1460,208,1,1,1,111,Lost
108,2023-11-05,2023-05-21,2,1520.43,526.55,Consumer,Central,422,60,1,1,1,111,Lost
109,2024-12-29,2021-01-09,102,239372.74,58041.07,Corporate,East,2,0,5,5,5,555,Champions
110,2024-11-24,2021-10-15,14,21495.89,7443.66,Home Office,East,37,5,3,3,3,333,Promising
111,2024-10-17,2021-02-01,33,63993.19,17388.95,Small Business,East,75,10,3,5,5,355,Loyal Customers
112,2024-12-21,2021-08-04,18,18744.14,4965.96,Consumer,West,10,1,5,4,3,543,Potential Loyalists
114,2021-01-03,2021-01-03,1,1099.27,345.13,Consumer,South,1458,208,1,1,1,111,Lost
115,2024-12-27,2021-01-01,42,116650.87,26476.8,Corporate,West,4,0,5,5,5,555,Champions
116,2024-12-28,2021-02-23,133,331712.41,74432.77,Corporate,West,3,0,5,5,5,555,Champions
117,2024-12-23,2021-04-18,40,52078.74,15343.75,Consumer,Central,8,1,5,5,4,554,Champions
118,2022-03-08,2021-05-13,3,6166.900000000001,1484.02,Consumer,East,1029,147,1,1,2,112,Lost
119,2024-12-30,2021-01-13,176,423118.8,105847.07,Corporate,West,1,0,5,5,5,555,Champions
120,2024-10-30,2023-02-14,3,6242.11,1799.4,Small Business,West,62,8,3,1,2,312,Hibernating
121,2024-12-19,2021-03-26,33,85953.54,21513.52,Corporate,West,12,1,4,5,5,455,Champions
122,2024-12-17,2021-04-02,13,29076.52,6547.83,Small Business,East,14,2,4,3,4,434,Potential Loyalists
123,2024-12-19,2021-04-12,41,63731.28,10828.369999999999,Home Office,South,12,1,4,5,5,455,Champions
124,2024-12-30,2021-02-20,77,164210.39,44326.48,Corporate,South,1,0,5,5,5,555,Champions
125,2024-11-26,2021-01-30,14,18927.84,5993.93,Home Office,East,35,5,3,3,3,333,Promising
126,2024-06-08,2022-03-23,2,1173.02,409.12,Consumer,Central,206,29,2,1,1,211,Lost
127,2023-09-10,2021-04-25,7,19908.73,5120.2699999999995,Consumer,Central,478,68,1,2,3,123,Lost
128,2023-12-08,2021-01-07,7,7345.75,2145.83,Home Office,West,389,55,1,2,2,122,Lost
129,2024-12-25,2021-01-30,32,44176.36,9047.8,Home Office,South,6,0,5,5,4,554,Champions
130,2024-12-23,2022-01-21,2,1698.68,647.08,Consumer,Central,8,1,5,1,1,511,New Customers
131,2024-12-28,2021-02-20,129,297538.79,69653.97,Corporate,South,3,0,5,5,5,555,Champions
133,2024-12-28,2021-01-05,57,123365.15,28098.72,Small Business,East,3,0,5,5,5,555,Champions
134,2024-12-31,2021-01-22,71,184003.65,49103.75,Corporate,West,0,0,5,5,5,555,Champions
135,2024-10-24,2021-06-10,33,97072.88,22580.3,Corporate,West,68,9,3,5,5,355,Loyal Customers
136,2022-05-15,2022-05-15,1,1847.62,339.7,Consumer,East,961,137,1,1,1,111,Lost
137,2022-11-19,2022-11-19,1,953.34,172.21,Corporate,West,773,110,1,1,1,111,Lost
138,2024-03-12,2023-03-30,3,3625.22,1142.3899999999999,Home Office,South,294,42,1,1,1,111,Lost
139,2024-09-05,2021-03-30,16,19221.64,6267.49,Small Business,East,117,16,2,4,3,243,At Risk
140,2024-09-25,2021-06-30,30,87592.33,16995.65,Corporate,West,97,13,2,4,5,245,Can't Lose
141,2022-08-25,2021-05-13,3,1749.5,373.12,Consumer,South,859,122,1,1,1,111,Lost
142,2022-08-10,2021-09-11,4,3655.0099999999998,1105.45,Consumer,West,874,124,1,2,1,121,Lost
143,2024-12-13,2021-01-28,15,19807.94,6064.52,Home Office,West,18,2,4,3,3,433,Potential Loyalists
144,2024-12-06,2021-03-16,23,26673.68,7887.21,Home Office,South,25,3,4,4,4,444,Champions
145,2024-11-01,2022-08-16,3,2216.55,621.4599999999999,Consumer,West,60,8,3,1,1,311,Hibernating
146,2024-11-07,2021-02-07,41,64119.08,14238.86,Consumer,East,54,7,3,5,5,355,Loyal Customers
147,2022-12-24,2021-10-15,2,2816.2200000000003,553.53,Corporate,East,738,105,1,1,1,111,Lost
148,2024-12-16,2021-04-12,21,20206.82,3960.79,Consumer,South,15,2,4,4,3,443,Potential Loyalists
149,2024-11-06,2022-03-01,6,12184.2,3130.32,Home Office,East,55,7,3,2,3,323,Promising
150,2024-11-02,2022-07-15,13,18139.7,2099.54,Consumer,West,59,8,3,3,3,333,Promising
151,2023-06-13,2021-03-03,10,9617.6,2005.7,Consumer,East,567,81,1,3,2,132,Lost
152,2024-12-02,2021-01-30,61,137225.07,34066.5,Small Business,West,29,4,4,5,5,455,Champions
154,2024-12-10,2021-10-10,3,13135.320000000002,1961.63,Consumer,West,21,3,4,1,3,413,Potential Loyalists
155,2023-04-17,2021-12-13,4,1187.89,422.15,Consumer,South,624,89,1,2,1,121,Lost
156,2024-12-26,2021-08-16,19,39558.79,6177.54,Consumer,East,5,0,5,4,4,544,Champions
157,2024-05-06,2024-05-06,1,758.53,284.11,Consumer,West,239,34,2,1,1,211,Lost
158,2024-10-18,2021-04-03,24,29707.45,7495.4800000000005,Consumer,South,74,10,3,4,4,344,Loyal Customers
159,2024-12-22,2022-03-11,4,1726.72,524.21,Consumer,West,9,1,5,2,1,521,Promising
160,2024-04-18,2021-08-20,9,9957.289999999999,2552.5099999999998,Consumer,West,257,36,2,3,2,232,Lost
161,2024-12-29,2021-01-07,101,234772.38999999998,60792.340000000004,Corporate,South,2,0,5,5,5,555,Champions
162,2024-02-24,2021-09-22,4,6316.21,1580.31,Home Office,West,311,44,1,2,2,122,Lost
163,2024-09-05,2021-01-01,26,24279.26,7751.54,Consumer,West,117,16,2,4,3,243,At Risk
165,2024-09-26,2021-07-25,7,14636.81,3833.27,Corporate,East,96,13,2,2,3,223,Lost
166,2024-12-16,2021-05-11,28,48494.48,12388.19,Small Business,West,15,2,4,4,4,444,Champions
167,2024-12-21,2021-02-15,28,67514.06,17844.87,Small Business,East,10,1,5,4,5,545,Champions
168,2024-10-03,2021-09-05,8,3465.95,1042.06,Consumer,West,89,12,2,2,1,221,Lost
169,2024-04-02,2021-02-07,6,11548.11,2588.87,Consumer,East,273,39,1,2,2,122,Lost
170,2022-10-27,2021-06-17,3,2864.42,1108.01,Consumer,Central,796,113,1,1,1,111,Lost
171,2024-12-26,2024-12-26,1,2756.8999999999996,693.5,Consumer,East,5,0,5,1,1,511,New Customers
172,2024-12-27,2021-03-13,84,237746.78,60785.64,Corporate,Central,4,0,5,5,5,555,Champions
173,2024-12-19,2021-01-06,310,857086.79,204914.84,Corporate,East,12,1,4,5,5,455,Champions
174,2024-05-05,2024-05-05,1,381.90000000000003,95.64,Consumer,West,240,34,2,1,1,211,Lost
175,2024-06-09,2021-03-09,14,16863.32,4638.72,Consumer,West,205,29,2,3,3,233,At Risk
176,2024-09-10,2021-03-02,20,78046.47,13252.17,Corporate,Central,112,16,2,4,5,245,Can't Lose
177,2024-05-13,2021-08-01,12,14803.08,2886.61,Consumer,West,232,33,2,3,3,233,At Risk
178,2024-11-11,2021-01-07,23,33301.07,6885.96,Home Office,West,50,7,3,4,4,344,Loyal Customers
179,2022-01-20,2022-01-20,1,379.54,106.74,Consumer,South,1076,153,1,1,1,111,Lost
180,2024-12-23,2021-02-19,50,96820.83,21563.99,Small Business,West,8,1,5,5,5,555,Champions
181,2024-12-10,2021-08-25,8,7252.37,2367.62,Consumer,East,21,3,4,2,2,422,Promising
182,2024-12-06,2021-02-19,36,69107.35,17279.9,Home Office,South,25,3,4,5,5,455,Champions
183,2024-06-18,2021-09-29,5,9396.74,2328.44,Small Business,West,196,28,2,2,2,222,Lost
184,2024-11-30,2021-05-19,7,22504.45,2995.77,Small Business,East,31,4,3,2,3,323,Promising
185,2024-12-08,2021-01-02,23,31774.76,9422.210000000001,Home Office,West,23,3,4,4,4,444,Champions
187,2024-12-28,2021-01-11,96,240439.83,56662.98,Corporate,East,3,0,5,5,5,555,Champions
188,2024-11-26,2022-08-01,4,3468.88,773.23,Home Office,Central,35,5,3,2,1,321,Hibernating
189,2024-07-04,2023-08-19,4,4622.33,586.84,Consumer,East,180,25,2,2,2,222,Lost
190,2024-08-20,2021-01-23,18,29958.5,6977.75,Corporate,South,133,19,2,4,4,244,Can't Lose
191,2024-11-05,2021-10-06,8,31818.8,6454.400000000001,Corporate,South,56,8,3,2,4,324,Promising
192,2024-09-01,2021-04-07,4,4373.35,1342.16,Small Business,Central,121,17,2,2,2,222,Lost
193,2024-12-16,2021-01-25,73,167263.4,41315.71,Corporate,Central,15,2,4,5,5,455,Champions
194,2024-11-09,2021-05-23,27,27208.96,6258.57,Consumer,Central,52,7,3,4,4,344,Loyal Customers
195,2024-12-25,2021-06-21,29,85403.7,20931.85,Corporate,South,6,0,5,4,5,545,Champions
196,2024-12-26,2021-04-01,9,10748.15,2985.23,Consumer,West,5,0,5,3,2,532,Potential Loyalists
197,2024-09-25,2021-02-07,19,24270.04,5121.03,Consumer,East,97,13,2,4,3,243,At Risk
198,2024-12-28,2021-10-25,20,47137.08,12594.8,Corporate,West,3,0,5,4,4,544,Champions
199,2024-12-29,2021-01-19,81,193682.13999999998,44460.92,Corporate,West,2,0,5,5,5,555,Champions
200,2024-12-25,2021-08-05,8,6332.1900000000005,2361.19,Consumer,East,6,0,5,2,2,522,Promising
201,2021-08-31,2021-02-15,2,1218.33,532.74,Consumer,Central,1218,174,1,1,1,111,Lost
203,2023-08-19,2023-08-19,1,58.44,23.38,Consumer,South,500,71,1,1,1,111,Lost
204,2024-12-03,2021-02-11,34,47617.26,13025.949999999999,Consumer,East,28,4,4,5,4,454,Champions
205,2024-08-23,2021-01-02,21,45347.9,11318.1,Home Office,East,130,18,2,4,4,244,Can't Lose
207,2024-12-28,2021-01-08,34,66006.75,15332.31,Small Business,East,3,0,5,5,5,555,Champions
209,2024-05-07,2021-02-17,12,18261.51,5600.85,Corporate,East,238,34,2,3,3,233,At Risk
210,2023-05-09,2023-05-09,1,318.11,143.07999999999998,Consumer,West,602,86,1,1,1,111,Lost
211,2024-08-17,2023-04-24,6,16391.61,3699.97,Corporate,East,136,19,2,2,3,223,Lost
212,2024-12-04,2021-01-08,49,74942.84,18888.69,Home Office,West,27,3,4,5,5,455,Champions
213,2024-11-07,2021-02-24,12,14554.15,3702.22,Home Office,West,54,7,3,3,3,333,Promising
214,2024-11-11,2022-10-16,3,8230.28,2054.39,Home Office,West,50,7,3,1,2,312,Hibernating
215,2024-12-16,2021-05-15,27,65022.479999999996,16714.510000000002,Corporate,West,15,2,4,4,5,445,Champions
216,2024-12-25,2021-01-12,107,262238.18,63905.82,Corporate,East,6,0,5,5,5,555,Champions
217,2024-08-11,2024-01-27,2,2830.11,403.71999999999997,Consumer,East,142,20,2,1,1,211,Lost
218,2024-12-03,2022-05-25,4,1714.54,241.32999999999998,Home Office,East,28,4,4,2,1,421,Promising
219,2022-12-30,2022-12-30,1,620.97,299.27000000000004,Consumer,Central,732,104,1,1,1,111,Lost
220,2024-10-09,2021-02-06,9,17780.420000000002,4176.8099999999995,Home Office,South,83,11,2,3,3,233,At Risk
221,2024-10-30,2021-01-05,36,76193.92,20600.3,Small Business,South,62,8,3,5,5,355,Loyal Customers
222,2023-11-19,2023-11-19,1,1386.1599999999999,349.89,Consumer,West,408,58,1,1,1,111,Lost
223,2024-05-26,2021-01-21,7,11761.68,3962.21,Corporate,West,219,31,2,2,2,222,Lost
224,2024-12-23,2021-01-18,42,66636.97,11928.81,Consumer,West,8,1,5,5,5,555,Champions
225,2024-12-19,2021-06-14,12,33468.520000000004,6655.38,Home Office,South,12,1,4,3,4,434,Potential Loyalists
226,2023-08-25,2021-04-12,4,1152.9,336.96000000000004,Consumer,Central,494,70,1,2,1,121,Lost
227,2024-12-13,2021-08-11,7,13725.26,4264.57,Small Business,South,18,2,4,2,3,423,Potential Loyalists
228,2024-12-31,2023-09-24,2,1248.7800000000002,-23.47999999999999,Consumer,South,0,0,5,1,1,511,New Customers
229,2024-12-31,2021-02-04,25,62670.75,18334.94,Small Business,West,0,0,5,4,4,544,Champions
230,2024-11-06,2021-01-03,33,60948.12,12780.41,Home Office,South,55,7,3,5,4,354,Loyal Customers
231,2024-06-26,2021-08-26,7,15181.16,4035.6400000000003,Corporate,South,188,26,2,2,3,223,Lost
233,2024-12-01,2021-01-06,20,30009.15,8482.99,Home Office,South,30,4,3,4,4,344,Loyal Customers
234,2024-12-22,2021-01-23,48,144182.17,33962.17,Small Business,East,9,1,5,5,5,555,Champions
235,2022-11-06,2022-05-09,3,1371.45,446.78999999999996,Consumer,South,786,112,1,1,1,111,Lost
236,2024-06-19,2021-09-12,5,21275.6,4815.37,Corporate,South,195,27,2,2,3,223,Lost
237,2024-12-02,2021-02-21,6,4056.89,1088.8,Consumer,East,29,4,4,2,2,422,Promising
238,2024-12-21,2021-01-20,50,138228.45,37725.63,Corporate,Central,10,1,5,5,5,555,Champions
239,2021-02-04,2021-02-04,1,75.7,23.14,Consumer,East,1426,203,1,1,1,111,Lost
240,2024-11-13,2021-10-11,7,14783.54,3550.64,Corporate,South,48,6,3,2,3,323,Promising
241,2024-12-01,2021-02-05,48,130774.42,31863.69,Corporate,South,30,4,3,5,5,355,Loyal Customers
242,2024-11-17,2021-01-14,22,66065.53,14350.78,Corporate,Central,44,6,3,4,5,345,Loyal Customers
243,2024-12-18,2021-01-31,58,131225.78,37011.25,Corporate,South,13,1,4,5,5,455,Champions
244,2024-11-13,2021-04-10,10,17238.67,4625.28,Home Office,East,48,6,3,3,3,333,Promising
245,2024-12-11,2021-04-26,41,62040.06,12212.61,Home Office,West,20,2,4,5,4,454,Champions
246,2024-12-16,2021-12-09,8,19019.86,6059.16,Corporate,West,15,2,4,2,3,423,Potential Loyalists
247,2024-12-02,2021-02-10,29,63874.06,13329.81,Corporate,East,29,4,4,4,5,445,Champions
248,2023-11-15,2022-03-22,6,13103.48,4562.09,Small Business,West,412,58,1,2,3,123,Lost
249,2024-12-24,2021-05-17,20,33303.979999999996,7702.9800000000005,Consumer,East,7,1,5,4,4,544,Champions
250,2024-09-11,2022-10-07,5,19478.97,2740.9700000000003,Consumer,West,111,15,2,2,3,223,Lost
251,2024-12-17,2021-01-28,38,47885.32,10342.16,Consumer,West,14,2,4,5,4,454,Champions
252,2024-11-04,2021-10-04,12,16887.71,4030.05,Home Office,South,57,8,3,3,3,333,Promising
253,2024-12-31,2021-01-07,101,253258.13,63764.64,Corporate,East,0,0,5,5,5,555,Champions
254,2024-10-24,2021-05-03,5,6660.64,2034.0500000000002,Home Office,South,68,9,3,2,2,322,Hibernating
255,2024-02-22,2022-02-20,4,6527.37,2093.49,Home Office,West,313,44,1,2,2,122,Lost
256,2024-11-07,2022-12-23,3,1211.51,435.14,Consumer,West,54,7,3,1,1,311,Hibernating
257,2024-12-22,2021-01-23,102,226275.45,60334.6,Small Business,West,9,1,5,5,5,555,Champions
258,2024-12-29,2021-08-08,21,33430.63,6341.45,Home Office,West,2,0,5,4,4,544,Champions
259,2024-11-06,2021-01-26,12,18759.59,3844.14,Consumer,East,55,7,3,3,3,333,Promising
260,2024-12-18,2021-06-10,5,2549.3199999999997,972.83,Consumer,West,13,1,4,2,1,421,Promising
261,2024-04-03,2024-04-03,1,595.24,161.53,Consumer,East,272,38,2,1,1,211,Lost
262,2024-11-30,2021-03-14,10,27023.46,5624.67,Consumer,West,31,4,3,3,4,334,Promising
264,2024-03-18,2021-09-10,3,2999.51,955.96,Small Business,West,288,41,1,1,1,111,Lost
265,2024-10-14,2021-03-16,30,88344.67,20636.52,Corporate,South,78,11,2,4,5,245,Can't Lose
268,2024-09-15,2021-01-05,17,36393.84,7475.39,Corporate,South,107,15,2,4,4,244,Can't Lose
269,2021-10-17,2021-10-17,1,8877.050000000001,1489.0300000000002,Small Business,South,1171,167,1,1,2,112,Lost
270,2024-12-27,2021-03-20,38,52838.340000000004,13497.6,Home Office,South,4,0,5,5,4,554,Champions
271,2024-12-29,2021-02-02,72,182467.94,42525.04,Corporate,East,2,0,5,5,5,555,Champions
272,2024-12-07,2021-03-04,15,10166.12,2927.16,Consumer,West,24,3,4,3,2,432,Potential Loyalists
273,2024-10-27,2021-01-10,18,33142.51,8430.0,Small Business,East,65,9,3,4,4,344,Loyal Customers
274,2023-12-22,2021-12-28,2,1047.52,41.3,Home Office,South,375,53,1,1,1,111,Lost
275,2024-12-16,2021-02-26,27,66948.26,14681.71,Small Business,Central,15,2,4,4,5,445,Champions
276,2024-12-24,2021-04-11,15,22697.47,2326.14,Consumer,East,7,1,5,3,3,533,Potential Loyalists
277,2024-12-21,2021-01-10,27,79152.36,18093.23,Small Business,South,10,1,5,4,5,545,Champions
278,2021-12-19,2021-12-19,1,2845.7799999999997,1066.35,Corporate,East,1108,158,1,1,1,111,Lost
280,2024-05-09,2021-01-24,21,59770.95,13564.55,Corporate,Central,236,33,2,4,4,244,Can't Lose
281,2024-12-23,2021-01-18,27,42766.98,6153.09,Home Office,East,8,1,5,4,4,544,Champions
282,2023-12-09,2023-12-09,1,1071.1999999999998,346.22,Consumer,Central,388,55,1,1,1,111,Lost
283,2024-12-25,2021-01-23,83,253467.3,50810.42,Corporate,South,6,0,5,5,5,555,Champions
284,2024-11-09,2021-04-14,29,45230.27,10003.21,Home Office,East,52,7,3,4,4,344,Loyal Customers
285,2024-06-11,2021-09-09,10,9294.42,3300.7,Consumer,West,203,29,2,3,2,232,Lost
286,2024-12-14,2022-11-09,2,7209.9800000000005,1386.79,Corporate,East,17,2,4,1,2,412,New Customers
